"","var","cat","unadj_or","adj_age_sex_or","adj_age_sex_imd_or","jointly_adj_or"
"1","Gender","Male",NA,NA,NA,NA
"2","Gender","Female","0.98 [0.89,1.07]","0.95 [0.87,1.04]","0.95 [0.87,1.04]","0.94 [0.86,1.04]"
"3","Age Group","5-12","1.06 [0.86,1.30]","1.05 [0.85,1.29]","1.06 [0.86,1.30]","0.99 [0.80,1.22]"
"4","Age Group","13-17","1.33 [1.09,1.63]","1.33 [1.08,1.62]","1.34 [1.10,1.64]","1.65 [1.30,2.09]"
"5","Age Group","18-24","1.61 [1.30,2.00]","1.61 [1.30,2.00]","1.61 [1.30,1.99]","1.72 [1.38,2.14]"
"6","Age Group","25-34","1.27 [1.06,1.53]","1.28 [1.06,1.53]","1.25 [1.04,1.50]","1.37 [1.14,1.65]"
"7","Age Group","35-44",NA,NA,NA,NA
"8","Age Group","45-54","1.02 [0.87,1.20]","1.02 [0.86,1.20]","1.03 [0.87,1.21]","1.14 [0.97,1.35]"
"9","Age Group","55-64","0.88 [0.75,1.04]","0.88 [0.75,1.03]","0.89 [0.76,1.05]","1.19 [1.00,1.42]"
"10","Age Group","65+","0.60 [0.51,0.71]","0.60 [0.51,0.71]","0.61 [0.52,0.72]","1.04 [0.85,1.26]"
"11","Region","North East","0.73 [0.55,0.96]","0.74 [0.56,0.97]","0.67 [0.50,0.89]","0.69 [0.52,0.92]"
"12","Region","North West","0.82 [0.69,0.97]","0.83 [0.70,0.98]","0.77 [0.65,0.91]","0.77 [0.65,0.92]"
"13","Region","Yorkshire and The Humber","0.60 [0.47,0.75]","0.60 [0.48,0.76]","0.57 [0.46,0.72]","0.60 [0.48,0.76]"
"14","Region","East Midlands","0.66 [0.56,0.78]","0.67 [0.57,0.79]","0.65 [0.55,0.77]","0.66 [0.55,0.78]"
"15","Region","West Midlands","0.87 [0.73,1.04]","0.88 [0.74,1.05]","0.84 [0.71,1.00]","0.85 [0.71,1.02]"
"16","Region","East of England","1.01 [0.88,1.16]","1.01 [0.88,1.16]","0.99 [0.86,1.14]","0.97 [0.84,1.12]"
"17","Region","London","1.66 [1.44,1.91]","1.56 [1.35,1.80]","1.45 [1.25,1.68]","1.44 [1.23,1.68]"
"18","Region","South East",NA,NA,NA,NA
"19","Region","South West","0.53 [0.43,0.66]","0.55 [0.44,0.68]","0.53 [0.43,0.65]","0.54 [0.43,0.66]"
